URI,SCRAPED AT,ARTICLE DATE,TITLE,BODY,HASH
https://www.lostiempos.com/doble-click/cine/20200207/premios-oscar-2020-donde-como-ver-vivo-online,07/02/2020 14:57,Publicado el 07/02/2020 a las 12h41,17 - Premios Oscar 2020: dónde y cómo ver en vivo y online,"El domingo será la versión número 92 de los premios Oscar, considerado como el evento estel",d43b9b009df91d3aec5f424cbb042d10
https://www.lostiempos.com/tendencias/educacion/20200207/transformacion-educacion-bolivia-gran-desafio-unifranz,07/02/2020 14:57,Publicado el 07/02/2020 a las 9h40,"18 - La transformación de la educación en Bolivia, el gran desafío de UNIFRANZ","Ante las constantes transformaciones globales, UNIFRANZ apuesta por una enseñanza que fomen",9b7bd5e882a92d94242970a9ec87fbcc
https://www.lostiempos.com/actualidad/economia/20200202/entel-bolivia-renueva-su-directorio-profesionales-trayectoria,07/02/2020 14:57,Publicado el 02/02/2020 a las 8h16,19 - Entel Bolivia renueva su directorio con profesionales de trayectoria,"El empresario Ibo Blazicevic fue elegido como nuevo presidente de directorio y Elio Montes,",8c3d35fe0db78a0f727cdf661b99ce9c
https://www.lostiempos.com/deportes/futbol/20200207/chapu-cardozo-exportacion,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h47,"20 - Chapu Cardozo, de exportación",Luego de seis años de retirarse de la actividad futbolística y ser entrenador con vocación,52c901969e4471e484e03754dc4fa3bd
https://www.lostiempos.com/actualidad/pais/20200206/resultados-del-caso-sospechoso-coronavirus-cochabamba-tardaran-20-dias,07/02/2020 14:57,Publicado el 06/02/2020 a las 12h06,21 - Resultados del caso sospechoso de coronavirus en Cochabamba tardarán hasta 20 días,"COCHABAMBA |

	Los resultados del caso sospechoso de coronavirus en Cochabamba se conocerán",fa2f5727a2f47288389f0fc459255dec
https://www.lostiempos.com/actualidad/cochabamba/20200206/medio-tension-inspeccionan-nueva-propuesta-linea-amarilla-del-tren,07/02/2020 14:57,Publicado el 06/02/2020 a las 12h13,"22 - En medio de tensión, inspeccionan nueva propuesta para línea amarilla del tren","Técnicos de la Unidad Técnica de Ferrocarriles (UTF), autoridades departamentales, municipa",1da5f9f9595f57b5dc9c43dd104d05c3
https://www.lostiempos.com/tendencias/interesante/20200206/antigua-capilla-lisboa-recrea-mundo-onirico-tim-burton,07/02/2020 14:57,Publicado el 06/02/2020 a las 9h49,23 - Una antigua capilla de Lisboa recrea el mundo onírico de Tim Burton,"Paula Fernández / Lisboa

	Los portones de la antigua capilla de Nuestra Señora de Nazareth",169a1c7b11c9aa5f248d9b522f50cfda
https://www.lostiempos.com/doble-click/musica/20200205/nuevo-videoclip-40-aniversario-redemption-song-bob-marley,07/02/2020 14:57,Publicado el 05/02/2020 a las 12h22,"24 - Nuevo videoclip por el 40 aniversario de ""Redemption Song"" de Bob Marley",Cerca de 2700 dibujos originales conforman el nuevo videoclip que figura desde hoy en el ca,92023504a698c3c805455dc42f387a45
https://www.lostiempos.com/doble-click/cultura/20200204/exhiben-trajes-tipicos-del-carnaval-oruro-gran-hotel-cochabamba,07/02/2020 14:57,Publicado el 04/02/2020 a las 19h02,25 - Exhiben trajes típicos del Carnaval de Oruro en el Gran Hotel Cochabamba,"Con motivo de conmemorar el aniversario número 239 del departamento de Oruro, el centro de",7815564f7a12c0f67862b2bfba766896
https://www.lostiempos.com/actualidad/cochabamba/20200207/otorgan-libertad-irrestricta-leyes-caso-mochilas-ii,07/02/2020 14:57,Publicado el 07/02/2020 a las 11h37,30 - Otorgan libertad irrestricta a Leyes por el caso Mochilas II,"Tras audiencia, se otorgó libertad irrestricta al alcalde electo José María Leyes (Demócrat",fd27cee10e3ea1608a76fba51d69183d
https://www.lostiempos.com/actualidad/cochabamba/20200207/lunes-bolivia-contara-reactivos-detectar-coronavirus,07/02/2020 14:57,Publicado el 07/02/2020 a las 12h35,31 - Desde el lunes Bolivia contará con reactivos para detectar coronavirus,"La responsable de Epidemiología del Ministerio de Salud, Carola Valencia, informó hoy que d",beb8ddfe7578434748d6a38e4beb2785
https://www.lostiempos.com/actualidad/cochabamba/20200207/bancomunidad-inaugura-nueva-agencia-quillacollo,07/02/2020 14:57,Publicado el 07/02/2020 a las 13h11,32 - BanComunidad inaugura  nueva agencia Quillacollo,"COCHABAMBA |

	El Banco PyMe BanComunidad inauguró hoy una nueva agencia en el municipio de",89978cf15b932d3b7ae39176e442144d
https://www.lostiempos.com/actualidad/cochabamba/20200207/comerciantes-se-preparan-posible-retorno-leyes-alcaldia,07/02/2020 14:57,Publicado el 07/02/2020 a las 10h46,33 - Comerciantes se preparan para el posible retorno de Leyes a la Alcaldía,"COCHABAMBA |

	Algunos sectores de los comerciantes están listos para el posible retorno de",4ec30f7a13e4a1083511d8813f1a3021
https://www.lostiempos.com/actualidad/cochabamba/20200207/transporte-libre-bloquea-avenida-san-martin-exigiendo-pasar-esa,07/02/2020 14:57,Publicado el 07/02/2020 a las 10h37,34 - Transporte libre bloquea la avenida San Martín exigiendo pasar por esa vía,"COCHABAMBA |

	Los conductores del transporte libre bloquean la avenida San Martín y Hondur",86ba7b4012d497af3a3d5de80eb91829
https://www.lostiempos.com/actualidad/cochabamba/20200207/plantean-que-ruta-amarilla-del-tren-bordee-rio-rocha-use-5-puentes,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h19,35 - Plantean que ruta amarilla del tren bordee el río Rocha y use 5 puentes,La tensión entre vecinos y funcionarios marcó ayer la inspección de la octava propuesta par,d4f98c8d15c9fe34927c3fad8171582c
https://www.lostiempos.com/actualidad/cochabamba/20200207/tiquipaya-bloquean-contra-planta-obras,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h17,36 - En Tiquipaya bloquean en contra de planta y por obras,Los tres de seis distritos que se oponen a la construcción de una planta de tratamiento de,6bee075ef75c2e08b6f06a83d8ca622f
https://www.lostiempos.com/deportes/futbol/20200207/wilstermann-determina-cuidar-cristian-chavez,07/02/2020 14:57,Publicado el 07/02/2020 a las 14h56,37 - Wilstermann determina cuidar a Cristian Chávez,El cuerpo técnico de Wilstermann determinó que el volante ofensivo Cristian ‘Pochi’ Chávez,ef4d4b55fb0a5e56154cf843c7b22699
https://www.lostiempos.com/deportes/futbol/20200207/clubes-bolivianos-inician-pie-izquierdo-su-presencia-copa-sudamericana-2020,07/02/2020 14:57,Publicado el 07/02/2020 a las 11h55,38 - Clubes bolivianos inician con el pie izquierdo su presencia en la Copa Sudamericana 2020,"Los cuatro clubes bolivianos participantes en la Copa Sudamericana 2020 (Nacional Potosí, B",be3920017465786c50f49b0a89eb9ae2
https://www.lostiempos.com/deportes/futbol-int/20200207/messi-futbolista-mejor-pagado-del-mundo-delante-ronaldo,07/02/2020 14:57,Publicado el 07/02/2020 a las 11h45,"39 - Messi, el futbolista mejor pagado del mundo por delante de Ronaldo",El argentino del Barcelona Lionel Messi repite como futbolista mejor pagado del mundo por d,7171ad774be8c72318e3013bb80839c0
https://www.lostiempos.com/deportes/futbol/20200207/tiquipaya-primer-semifinalista-primera-afc-se-perfila-simon-bolivar,07/02/2020 14:57,Publicado el 07/02/2020 a las 10h26,"40 - Tiquipaya, el primer semifinalista de la Primera ""A"" de la AFC, se perfila para la Simón Bolívar",El club Municipal Tiquipaya ya no sueña despierto. Su pase a la semifinal es una realidad y,4515478bceeb9c152f150fbf1b71e939
https://www.lostiempos.com/deportes/multideportivo/20200207/motociclismo-cochabambino-inicia-su-calendario-carrera-glorias-del,07/02/2020 14:57,Publicado el 07/02/2020 a las 15h35,41 - El motociclismo cochabambino inicia su calendario con la carrera “Glorias del Pasado”,El calendario 2020 del motociclismo cochabambino iniciará el domingo 16 de febrero con la c,3434f8ee6d98f7dd7bbe7f1a8aa02dc5
https://www.lostiempos.com/deportes/futbol/20200207/estrepitosa-caida-blooming,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h27,42 - Estrepitosa caída de Blooming,"LOS TIEMPOS Y AGENCIAS

	Blooming dio un paso en falso en su debut en Copa Sudamericana tra",8bccb63c4adc4ddc0ab74fb882ffedf8
https://www.lostiempos.com/deportes/futbol/20200207/dt-diaz-esperara-recuperacion-chavez-ultimo,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h27,43 - El DT Díaz esperará  por la recuperación de Chávez hasta el último,"El director técnico de Wilstermann, Cristian Díaz, esperará por el volante ofensivo argenti",a434d84266be2f08c579c179fc34eeee
https://www.lostiempos.com/deportes/futbol/20200207/chapu-cardozo-exportacion,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h47,"44 - Chapu Cardozo, de exportación",Luego de seis años de retirarse de la actividad futbolística y ser entrenador con vocación,52c901969e4471e484e03754dc4fa3bd
https://www.lostiempos.com/deportes/futbol/20200207/dos-cambios-once-pero-mismo-dibujo-tactico,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h27,"45 - Dos cambios en el once, pero con el mismo dibujo táctico","El entrenador de Aurora, Julio César Baldivieso, conservará el dibujo táctico que ha puesto",34bfa03e81deed3721c538c6d5c9f15d
https://www.lostiempos.com/deportes/futbol/20200207/vinto-alista-su-arsenal-partido-aurora,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h27,46 - Vinto alista su arsenal para partido con Aurora,Municipal Vinto Atlético Palmaflor alista su mejor elemento para el partido de mañana (15:0,18f2649ad373fbcf37caf4802a7882be
https://www.lostiempos.com/deportes/futbol/20200207/always-tampoco-pudo-millonarios-campin-bogota,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h00,47 - Always tampoco pudo con Millonarios en el Campín de Bogotá,"El Millonarios colombiano superó por 2-0 ayer a Always Ready, en partido de ida de la prime",18be3728d2739077855af72dafd54a83
https://www.lostiempos.com/deportes/futbol/20200207/gonzales-arano-se-suman-strongest,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h27,48 - Gonzales  y Arano se suman a The Strongest,El Tigre suma refuerzos jóvenes y nacionales. Ayer llegaron los jugadores Alex Arano y Fran,526a8c86b5b07858d953d84d3d93d79e
https://www.lostiempos.com/actualidad/pais/20200207/joven-sospechoso-coronavirus-dio-positivo-examen-dengue,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h33,49 - Joven sospechoso de coronavirus dio positivo a examen de dengue,El joven que llegó de Singapur y es sospechoso de portar el coronavirus dio positivo para d,655d61e9107ac0da3965a52a48b07f40
https://www.lostiempos.com/actualidad/pais/20200207/sentencia-del-tcp-posibilita-habilitacion-evo-arce-cossio,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h13,"50 - Sentencia del TCP posibilita la habilitación de Evo, Arce y Cossío",Una sentencia del Tribunal Constitucional Plurinacional (TCP) de 2018 podría habilitar a lo,a8c65e11d9d7c3b48ef6bb91fbeadacc
https://www.lostiempos.com/actualidad/mundo/20200206/muere-medico-chino-que-alerto-del-coronavirus,07/02/2020 14:57,Publicado el 06/02/2020 a las 18h19,51 - Muere el médico chino que alertó del coronavirus,Un doctor chino que lanzó la alerta pública por la aparición del nuevo coronavirus murió a,e75444d67434c24f724323c2bc561b95
https://www.lostiempos.com/actualidad/pais/20200206/copa-promulgara-17-leyes-que-fueron-devueltas-gobierno,07/02/2020 14:57,Publicado el 06/02/2020 a las 16h39,52 - Copa promulgará 17 leyes que fueron devueltas por el Gobierno,"La presidenta de la Asamblea Legislativa Plurinacional (ALP), Eva Copa, informó hoy que, pr",b290117ac10a4404faf7d412cb7f3b77
https://www.lostiempos.com/actualidad/pais/20200207/escarabajos-bolivianos-peligro-extincion-son-traficados-ilegalmente-japon,07/02/2020 14:57,Publicado el 07/02/2020 a las 10h33,53 - Escarabajos bolivianos en peligro de extinción son traficados ilegalmente hacia Japón,"Traficantes japoneses y de otros países, llegan todos los años hasta Coroico en busca de es",e1f62440cd5e46ad17a7db1761971c52
https://www.lostiempos.com/actualidad/cochabamba/20200206/memes-que-desata-conflicto-legal-dos-franquicias-comida-rapida,07/02/2020 14:57,Publicado el 06/02/2020 a las 16h04,54 - Los memes que desata el conflicto legal entre dos franquicias de comida rápida,Un conflicto legal entre las franquicias de comida rápida “Chicken's Kingdom” y “Food Cente,536b3972e31911e4e839a943d6f0d6e3
https://www.lostiempos.com/actualidad/pais/20200206/arce-posibles-inhabilitaciones-mas-esperamos-que-tse-no-actue-politicamente,07/02/2020 14:57,Publicado el 06/02/2020 a las 17h06,55 - Arce sobre posibles inhabilitaciones: En el MAS esperamos que el TSE no actúe políticamente,El exministro de Economía y candidato a la Presidencia por el Movimiento Al Socialismo (MAS,a461dd7fca310f294ae5cc54ebcf1385
https://www.lostiempos.com/actualidad/pais/20200206/casi-mes-del-polemico-llamado-milicias-evo-convoca-acuerdo-cerrar-heridas,07/02/2020 14:57,Publicado el 06/02/2020 a las 23h01,"56 - A casi un mes del polémico llamado a milicias, Evo convoca a un acuerdo para ""cerrar heridas""","El expresidente de Bolivia y líder del Movimiento al Socialismo (MAS), Evo Morales, propuso",1b6c7abe4d4fa48fb0ea1f8a73ce729c
https://www.lostiempos.com/actualidad/mundo/20200207/mapa-tiempo-real-del-avance-del-coronavirus-mundo,07/02/2020 14:57,Publicado el 07/02/2020 a las 10h23,57 - Mapa en tiempo real del avance del coronavirus por el mundo,"El coronavirus se originó en China, pero se expandió con velocidad por varios países. Pese",ad09d4900cc18491fe98e785149e2e9f
https://www.lostiempos.com/deportes/futbol/20200207/chapu-cardozo-exportacion,07/02/2020 14:57,Publicado el 07/02/2020 a las 0h47,"58 - Chapu Cardozo, de exportación",Luego de seis años de retirarse de la actividad futbolística y ser entrenador con vocación,52c901969e4471e484e03754dc4fa3bd
https://www.lostiempos.com/tendencias/interesante/20200207/legumbres-son-superalimento-que-ayudan-prevenir-enfermedades,07/02/2020 14:58,Publicado el 07/02/2020 a las 0h43,59 - Las legumbres son un superalimento que ayudan a prevenir enfermedades,A nivel mundial las legumbres son consideradas un superalimento porque se trata de semillas,f937a4e900fc0a09090a3b3ab2c92581
https://www.lostiempos.com/tendencias/interesante/20200207/cuatro-datos-claves-del-pisco,07/02/2020 14:58,Publicado el 07/02/2020 a las 0h43,60 - Cuatro datos claves del pisco,"El pisco, la bebida bandera de Perú, conquista a los paladares más exigentes con su majestu",6aaa608f6c8ec6cd5deb4fe2c40d5cc3
https://www.lostiempos.com/tendencias/educacion/20200207/transformacion-educacion-bolivia-gran-desafio-unifranz,07/02/2020 14:58,Publicado el 07/02/2020 a las 9h40,"61 - La transformación de la educación en Bolivia, el gran desafío de UNIFRANZ","Ante las constantes transformaciones globales, UNIFRANZ apuesta por una enseñanza que fomen",9b7bd5e882a92d94242970a9ec87fbcc
https://www.lostiempos.com/tendencias/ciencia/20200206/astronauta-estadounidense-que-batio-record-femenino-permanencia-espacio,07/02/2020 14:58,Publicado el 06/02/2020 a las 10h44,62 - La astronauta estadounidense que batió el récord femenino de permanencia en el espacio regresó a la Tierra,"Almaty, Kazajistán |

	La astronauta estadounidense Christina Koch regresó a la Tierra este",1e42fecdd67d0a82a722f8f5b84edb3a
https://www.lostiempos.com/tendencias/interesante/20200206/antigua-capilla-lisboa-recrea-mundo-onirico-tim-burton,07/02/2020 14:58,Publicado el 06/02/2020 a las 9h49,63 - Una antigua capilla de Lisboa recrea el mundo onírico de Tim Burton,"Paula Fernández / Lisboa

	Los portones de la antigua capilla de Nuestra Señora de Nazareth",169a1c7b11c9aa5f248d9b522f50cfda
https://www.lostiempos.com/tendencias/interesante/20200206/nace-fundacion-internacional-ayudar-animales-callejeros-bolivia,07/02/2020 14:58,Publicado el 06/02/2020 a las 17h58,64 - Nace fundación internacional para ayudar a animales callejeros en Bolivia,En septiembre de 2019 se hizo realidad un sueño largamente acariciado que dio lugar al naci,26992641300df157ab1a7191d5fc55cd
https://www.lostiempos.com/tendencias/tecnologia/20200206/google-maps-cumple-15-anos-mas-inteligencia-nuevos-competidores,07/02/2020 14:58,Publicado el 06/02/2020 a las 13h43,"65 - ""Google maps"" cumple 15 años, con más ""inteligencia"" y nuevos competidores","MADRID |

	La aplicación ""Google maps"", una de las más populares del buscador más utilizado",4d20ce0d23f6cfb811cdfc5a11c5c6cf
https://www.lostiempos.com/actualidad/opinion/20200207/editorial/coronavirus-alerta-funciona-bolivia,07/02/2020 14:58,Publicado el 07/02/2020,66 - Coronavirus: la alerta funciona en Bolivia,"Desde que se reportaron los primeros casos, el último día del año pasado, la neumonía de Wu",23f56228e35b06435ec0935dce4c8fee
https://www.lostiempos.com/actualidad/opinion/20200207/columna/caballeritos,07/02/2020 14:58,Publicado el 07/02/2020,67 - Caballeritos,"Volvieron las clases y vuelven también los mandiles blancos a las escuelas, el cabello reco",fa9e42bd0d67cc9adb123e7711f754b3
https://www.lostiempos.com/actualidad/opinion/20200207/columna/don-werner-memoriam,07/02/2020 14:58,Publicado el 07/02/2020,"68 - Don Werner, in memoriam",El mundo conmemoró con diferentes actos en distintos escenarios el 75 aniversario del ingre,4c4ac243ffa6a939f2ae264e0a984c5c
https://www.lostiempos.com/actualidad/opinion/20200207/columna/fuimos-tambien-culpables-tirania,07/02/2020 14:58,Publicado el 07/02/2020,69 - ¿Fuimos también culpables de la tiranía?,"Después de terribles hechos, puede haber sitio para la meditación. Aludo al momento en el c",aff1b2995bbab4f459e2063ec275741f
https://www.lostiempos.com/actualidad/opinion/20200207/columna/carne-cemento,07/02/2020 14:58,Publicado el 07/02/2020,70 - Carne y cemento,"No le saco el poto a la jeringa a mi machismo confeso, al asociar la carne a la Presidenta",8ea70acd59052e038d47d62ccd774ad7
https://www.lostiempos.com/actualidad/opinion/20200207/columna/no-todo-esta-perdido,07/02/2020 14:58,Publicado el 07/02/2020,71 - ¡No todo está perdido!,"Vivimos tiempos en los que el egoísmo, la mentira, la necedad, el abuso, la prepotencia, la",7001fcbcd182f5fe0939e5301ae59ee8
https://www.lostiempos.com/actualidad/opinion/20200207/columna/joyas-del-diablo,07/02/2020 14:58,Publicado el 07/02/2020,72 - Las joyas del Diablo,"Somos la selección de jugadores que fue la Guerra del Chaco, un abuelo que funda cines en c",094103345bf2218818e2c591f6fe5420
https://www.lostiempos.com/actualidad/opinion/20200206/columna/repartija-territorios-originarios,07/02/2020 14:58,Publicado el 06/02/2020,73 - Repartija de territorios de originarios,"Recientemente, la Central de los Pueblos Étnicos Mojeños del Beni (CPEM-B) ha solicitado a",f8a406327e77a53665b8332a3f042990
https://www.lostiempos.com/actualidad/opinion/20200206/columna/mezquindad-gestion-ypfb,07/02/2020 14:58,Publicado el 06/02/2020,74 - Mezquindad en la gestión de YPFB,"Ninguna institución pública, o privada, funciona por la mera inercia de sus preceptos, regl",65252aa8dd443f9d5486ebf260fd589c
https://www.lostiempos.com/actualidad/opinion/20200206/columna/chola-moza-indio,07/02/2020 14:58,Publicado el 06/02/2020,"75 - Chola, moza… indio",Muchos tarijeños están enojados. Consideran que fue una ofensa llamar “chola tarijeña” a la,30f2912ceeea613dc8b8de79c67c43ff
https://www.lostiempos.com/actualidad/opinion/20200206/columna/dos-cubalibres-favor,07/02/2020 14:58,Publicado el 06/02/2020,"76 - Dos cubalibres, por favor","Desde la Vista del amanecer en el Trópico, haciendo Pequeñas maniobras, Tres tristes tigres",6238e73128e6aee05ee489b7a4a4ad96
https://www.lostiempos.com/actualidad/opinion/20200206/columna/miedo-mujer-gestante,07/02/2020 14:58,Publicado el 06/02/2020,77 - El miedo de una mujer gestante,"Como mujer y madre me pregunto, una y otra vez, acerca de esta problemática recurrente que",f9f3d72be1864573231397789d5722dd
https://www.lostiempos.com/actualidad/opinion/20200205/columna/historia-siempre-pierde-memoria,07/02/2020 14:58,Publicado el 05/02/2020,78 - La historia siempre pierde la memoria,"JOHNY R. DURANDAL M.

	Es la frase de una canción, pero encierra mucha sabiduría, y en rela",76c2674da167503793efa9a619497344
https://www.lostiempos.com/doble-click/cine/20200207/quienes-eligen-ganadores-oscar-como,07/02/2020 14:58,Publicado el 07/02/2020 a las 9h54,82 - ¿Quiénes eligen a los ganadores de los Óscar y cómo?,Son 8.469 personas que han votado este año para elegir a los ganadores de los premios Óscar,67b4d3ae74c462f7eb528a56b6250b3a
https://www.lostiempos.com/doble-click/cultura/20200207/80-anos-pinocho-mentiroso-mas-famoso-del-cine,07/02/2020 14:58,Publicado el 07/02/2020 a las 14h34,"83 - 80 años de ""Pinocho"", el mentiroso más famoso del cine","MADRID |

	Un 7 de febrero de 1940 se estrenaba en el Central Theatre de Nueva York ""Disney",661e8737fe88c8a26991f6a0bda3d73d
https://www.lostiempos.com/doble-click/cine/20200207/premios-oscar-2020-donde-como-ver-vivo-online,07/02/2020 14:58,Publicado el 07/02/2020 a las 12h41,84 - Premios Oscar 2020: dónde y cómo ver en vivo y online,"El domingo será la versión número 92 de los premios Oscar, considerado como el evento estel",d43b9b009df91d3aec5f424cbb042d10
https://www.lostiempos.com/doble-click/cultura/20200207/tercera-version-del-panorama-escenico-continua-obra-mal-tipo,07/02/2020 14:58,Publicado el 07/02/2020 a las 10h53,"85 - La tercera versión del Panorama Escénico continúa con la obra ""Un mal tipo""","COCHABAMBA |

	“Un mal tipo” es un monólogo escrito por Alejandro Marañón que trata sobre c",188395bbc636699320229acf0c704638
https://www.lostiempos.com/doble-click/espectaculos/20200207/adondevamos-conozca-oferta-eventos-culturales-este-fin-semana,07/02/2020 14:58,Publicado el 07/02/2020 a las 0h43,86 - #ADóndeVamos: conozca la oferta de eventos culturales para este fin de semana,"Bronco pondrá a bailar y cantar a sus fans

	Mañana 8 de febrero, a partir de las 19:00, la",bc964baedf0ba9bd7724ae7d15854881
